Series Name,"Series Code","Country Name","Country Code","2015 [YR2015]"
"Population, total","SP.POP.TOTL","Afghanistan","AFG","33753499"
"Population, total","SP.POP.TOTL","Albania","ALB","2880703"
"Population, total","SP.POP.TOTL","Algeria","DZA","39543154"
"Population, total","SP.POP.TOTL","American Samoa","ASM","51368"
"Population, total","SP.POP.TOTL","Andorra","AND","71746"
"Population, total","SP.POP.TOTL","Angola","AGO","28127721"
"Population, total","SP.POP.TOTL","Antigua and Barbuda","ATG","89941"
"Population, total","SP.POP.TOTL","Argentina","ARG","43131966"
"Population, total","SP.POP.TOTL","Armenia","ARM","2878595"
"Population, total","SP.POP.TOTL","Aruba","ABW","104257"
"Population, total","SP.POP.TOTL","Australia","AUS","23815995"
"Population, total","SP.POP.TOTL","Austria","AUT","8642699"
"Population, total","SP.POP.TOTL","Azerbaijan","AZE","9649341"
"Population, total","SP.POP.TOTL","Bahamas, The","BHS","392697"
"Population, total","SP.POP.TOTL","Bahrain","BHR","1362142"
"Population, total","SP.POP.TOTL","Bangladesh","BGD","157830000"
"Population, total","SP.POP.TOTL","Barbados","BRB","278083"
"Population, total","SP.POP.TOTL","Belarus","BLR","9461076"
"Population, total","SP.POP.TOTL","Belgium","BEL","11274196"
"Population, total","SP.POP.TOTL","Belize","BLZ","359871"
"Population, total","SP.POP.TOTL","Benin","BEN","10932783"
"Population, total","SP.POP.TOTL","Bermuda","BMU","65237"
"Population, total","SP.POP.TOTL","Bhutan","BTN","743274"
"Population, total","SP.POP.TOTL","Bolivia","BOL","11090085"
"Population, total","SP.POP.TOTL","Bosnia and Herzegovina","BIH","3524324"
"Population, total","SP.POP.TOTL","Botswana","BWA","2305171"
"Population, total","SP.POP.TOTL","Brazil","BRA","205188205"
"Population, total","SP.POP.TOTL","British Virgin Islands","VGB","29366"
"Population, total","SP.POP.TOTL","Brunei Darussalam","BRN","421437"
"Population, total","SP.POP.TOTL","Bulgaria","BGR","7177991"
"Population, total","SP.POP.TOTL","Burkina Faso","BFA","18718019"
"Population, total","SP.POP.TOTL","Burundi","BDI","10727148"
"Population, total","SP.POP.TOTL","Cabo Verde","CPV","552166"
"Population, total","SP.POP.TOTL","Cambodia","KHM","15417523"
"Population, total","SP.POP.TOTL","Cameroon","CMR","23012646"
"Population, total","SP.POP.TOTL","Canada","CAN","35704498"
"Population, total","SP.POP.TOTL","Cayman Islands","CYM","60911"
"Population, total","SP.POP.TOTL","Central African Republic","CAF","4819333"
"Population, total","SP.POP.TOTL","Chad","TCD","14140274"
"Population, total","SP.POP.TOTL","Channel Islands","CHI","162190"
"Population, total","SP.POP.TOTL","Chile","CHL","17870124"
"Population, total","SP.POP.TOTL","China","CHN","1379860000"
"Population, total","SP.POP.TOTL","Colombia","COL","47119728"
"Population, total","SP.POP.TOTL","Comoros","COM","730216"
"Population, total","SP.POP.TOTL","Congo, Dem. Rep.","COD","78656904"
"Population, total","SP.POP.TOTL","Congo, Rep.","COG","5064386"
